id,wine,winery,rating_average,rating_reviews,location_nation,location_region,image,category
1,"Amarone della Valpolicella Riserva N.V.","Ernesto Ruffo",4.9,75 ratings,"Italy","Amarone della Valpolicella",https://images.vivino.com/thumbs/nC9V6L2mQQSq0s-wZLcaxw_pb_x300.png,reds
2,"Pêra-Manca Tinto 1990","Cartuxa",4.9,72 ratings,"Portugal","Alentejo",https://images.vivino.com/thumbs/L33jsYUuTMWTMy3KoqQyXg_pb_x300.png,reds
3,"Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard 2015","Schrader",4.9,72 ratings,"United States","Oakville",https://images.vivino.com/thumbs/GpcSXs2ERS6niDxoAsvESA_pb_x300.png,reds
4,"Wraith Cabernet Sauvignon 2013","Hundred Acre",4.9,68 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/PBhGMcRNQ7aVnVNr7VgnWA_pb_x300.png,reds
5,"Ratsel Syrah N.V.","Sine Qua Non",4.9,68 ratings,"United States","California",https://images.vivino.com/thumbs/ZzMKzqFqRO-6oI3ys3gGgQ_pb_x300.png,reds
6,"The Beast Cabernet Sauvignon 2012","Del Dotto",4.9,60 ratings,"United States","Rutherford",https://images.vivino.com/thumbs/easjTPIcS-mCQ99XoYOMgQ_pb_x300.png,reds
7,"Darius II Cabernet Sauvignon 2016","Darioush",4.9,59 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/U19RXtSdRMmoAesl2CBygA_pb_x300.png,reds
8,"Hurlo 2009","Garbole",4.9,55 ratings,"Italy","Veneto",https://images.vivino.com/thumbs/f_G1SS0eT_C6hZGGwdEZqA_pb_x300.png,reds
9,"Cabernet Sauvignon 2016","Scarecrow",4.9,54 ratings,"United States","Rutherford",https://images.vivino.com/thumbs/pU7uFKR-TAKAOQaf3Hpn2A_pb_x300.png,reds
10,"Côte-Rôtie La Mouline 1990","E. Guigal",4.9,54 ratings,"France","Côte-Rôtie",https://images.vivino.com/thumbs/HYVZMFigQ5qXxni7s9SpWw_pb_x300.png,reds
11,"Chambertin Grand Cru 1993","Domaine Armand Rousseau",4.9,45 ratings,"France","Chambertin Grand Cru",https://images.vivino.com/thumbs/1XYwrN2-SQqqJlCMSUp3tA_pb_x300.png,reds
12,"Estiba Reservada 1994","Catena Zapata",4.9,44 ratings,"Argentina","Agrelo",https://images.vivino.com/thumbs/Yt464jw0QS-ugF7ZQEbE2Q_pb_x300.png,reds
13,"Ribera Del Duero Gran Reserva 12 Años 1999","Bodegas Valduero",4.9,44 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/5kJTu3dMQUCEtBy3zIhrKA_pb_x300.png,reds
14,"G Major Seven Study Cabernet Sauvignon 2015","Gargiulo",4.9,44 ratings,"United States","Oakville",https://images.vivino.com/thumbs/Q8MlhaRDTbaYh6Ydnr__iQ_pb_x300.png,reds
15,"Barolo Riserva Monfortino 1985","Conterno",4.9,44 ratings,"Italy","Barolo",https://images.vivino.com/thumbs/ElcyI1YpRSes_LvNodMeSQ_pb_x300.png,reds
